title,rating,acidity_structure,aftertaste,aroma,body,flavor,with_milk,agtron,blind_assessment,bottom_line,coffee_origin,est_price,notes,review_date,roast_level,roaster,roaster_location,url
Thailand Huai Mae Liam White Honey,92,8,8,9,8,9,,64/80,"Gently fruit-toned, wood-framed. Guava, fresh-cut fir, narcissus, cocoa nib, lemon thyme in aroma and cup. Sweet-tart structure with brisk acidity; delicate, velvety mouthfeel. Cocoa nib and fir carry the crisp, quiet finish.","A delicate, gently sweet-tart cup from Thailand — friendly, easy-drinking, and very sweet.","Huai Mae Liam, Chiang Rai, Thailand",$24.95/12 ounces,"Produced from coffees of the Chiang Mai 80, Catuai and Typica varieties of Arabica and processed by the white honey method, in which a small amount of fruit flesh is left on the bean during drying. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",March 2021,Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/thailand-huai-mae-liam-white-honey/
Kona Classic Dark,92,8,8,8,9,9,,46/62,"Deeply sweet, chocolaty. Chocolate fudge, magnolia, almond brittle, gently scorched sandalwood, marshmallow in aroma and cup. Bittersweet structure with gentle, round acidity; full, creamy mouthfeel. Chocolaty finish with almond and sandalwood undertones. ","A deep, confident darker-roasted Kona Typica that would play well with milk.","Kona, Big Island of Hawai’i",$19.95/4 ounces,"Produced at Black Rock Farm entirely of the Typica variety of Arabica and processed by the washed method. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",March 2021,Medium,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/kona-classic-dark/
Brazil Daterra Aramosa Anaerobic Honey,93,8,8,9,9,9,,64/84,"Very fruit-forward; deeply and richly sweet. Mulberry, date, hop flowers, narcissus, fresh-cut oak in aroma and cup. Sweet-toned with crisp, winy acidity; very full, satiny mouthfeel. The bittersweet finish leads with notes of mulberry and hop flowers, supported by fresh-cut oak.",A coffee from the just-developed Amarosa pre-cultivar processed by the anaerobic honey method — worth seeking out both for its rarity and its striking cup profile.,"Cerrado growing region, Brazil",$39.95/4 ounces,"Produced at Daterra Estate entirely from coffee of the Aramosa pre-cultivar, a cross between the Coffea arabica species and the small-beaned Coffea racemosa species from South Africa. This crossbreeding was aimed at combining Racemosa’s low caffeine and drought-resistance with Arabica’s flavor. (Aramosa is a pre-cultivar still under development and study.) Processed by the anaerobic honey method (coffee fruit with skins removed but mucilage intact is subject to reduced oxygen ferment before drying). Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",March 2021,Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/brazil-daterra-amarosa-anaerobic-honey/
Colombia Pink Bourbon Finca El Chaparote,94,9,8,9,9,9,,64/82,"Elegantly floral, delicately fruit-toned. Honeysuckle, pink grapefruit zest, agave syrup, cocoa nib, lemon balm in aroma and cup. Richly sweet structure with bright, balanced acidity; lyrically silky mouthfeel. Pretty floral-leaning finish centers on notes of honeysuckle and lemon balm with undertones of cocoa nib.","An integrated, harmonious Pink Bourbon from Colombia with high-toned floral and fruit notes throughout — richly aromatic, juicy and bright.","Huila Department, Colombia",$14.95/6 ounces,"Produced by Erick Fernando Bravo Urbano of Finca El Chapapote entirely of the admired Pink Bourbon variety of Arabica and processed by the washed method. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",March 2021,Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/colombia-pink-bourbon-finca-el-chaparote/
Kona Uluwehi SL34,94,9,8,9,9,9,,60/80,"Bright and tropical; deeply sweet. Lychee, amber, ginger blossom, almond butter, a hint of coconut in aroma and cup. Sweet-tart structure with crisp, citrusy acidity; full, syrupy mouthfeel. The finish consolidates to notes of ginger blossom and coconut.","Tropics in a cup, all fruit and spice-toned florals, supported by a syrupy mouthfeel and bright structure. ","Holualoa, Kona, Big Island of Hawai’i",$29.95/4 ounces,"Produced at Uluwehi Coffee Farm entirely of the SL34 variety of Arabica and processed by the washed method with the addition of wine yeasts during the ferment step. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",March 2021,Medium-Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/kona-uluwehi-sl34/
Aged Sumatra Ulos Batak 2015,94,8,9,9,9,9,,45/63,"A splendid, uncompromising example of its style, though not for everyone. Fresh humus, perique pipe tobacco, freshly dried prune, musk, raw chocolate in aroma and cup. Sweet-savory structure with low-toned, round acidity; plush, syrupy mouthfeel. The sweetly earth-toned finish is long and resonant, with notes of forest floor, pipe tobacco and musk.","Paradise says, “This coffee reminds us of Paul Bunyan chopping his way through a great forest, wearing Old Spice cologne, smoking a cigar, and not giving a care.” In more explicit terms, this coffee is earthy, foresty, musky and fresh tobacco-toned.","Lintong growing region, Sumatra, Indonesia",$18.95/12 ounces,"Produced by smallholding farmers from trees of the Linie S, Typica and Kartika varieties of Arabica and processed by the traditional Sumatra wet-hulled method, then deliberately held in an aging warehouse for five years. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",March 2021,Medium,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/aged-sumatra-ulos-batak-2015/
Colombia La Victoria,92,8,8,9,8,9,,58/78,"Rich-toned, deeply aromatic. Dark chocolate, hop flowers, brown sugar, orange zest, hazelnut in aroma and cup. Bittersweet structure with gentle, round acidity; velvety mouthfeel. Chocolaty finish with undertones of orange zest and hazelnut. ","A richly sweet, lingeringly aromatic Colombia cup with bittersweet floral notes.","Nariño Department, Colombia",$19.00/12 ounces,"Produced by Oswal Yovanny Rodriguez Guevara of Finca La Victoria entirely from trees of the Castillo variety and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.",March 2021,Medium-Light,Temple Coffee Roasters,"Sacramento, California",https://www.coffeereview.com/review/colombia-la-victoria/
Peru Jheyner Roman,92,8,8,9,8,9,,56/74,"Crisply sweet, deep-toned. Pecan pralines, date, magnolia, cedar, baking chocolate in aroma and cup. Sweet structure with brisk acidity; satiny mouthfeel. Notes of baking chocolate lead the quiet finish, supported by pecan and cedar.","A friendly and appealing Peru cup with crisp, chocolaty depth and an aroma reminiscent of pralines.","Cajamarca region, northern Peru",$19.00/12 ounces,"Produced by Jheyner Román of El Mirador Farm from trees of the Bourbon, Caturra and Typica varieties of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.",March 2021,Medium-Light,Temple Coffee Roasters,"Sacramento, California",https://www.coffeereview.com/review/peru-jheyner-roman/
Easter Sunrise Blend,92,8,8,8,9,9,,50/68,"Rich, chocolaty, floral-toned. Baking chocolate, lily, fresh-cut fir, golden raisin, orange zest in aroma and cup. Richly sweet structure with gentle, mild acidity; very full, syrupy mouthfeel. Crisp, chocolaty finish with undertones of orange zest and fresh-cut fir. ","A deep-toned, richly sweet blend all at once chocolaty, floral and citrusy.",Not disclosed,$14.99/12 ounces,Mystic Monk Coffee is a small-batch roaster associated with a Carmelite monastery located in the Rocky Mountains of northern Wyoming. The monks emphasize an artisan approach to roasting and a commitment to quality. Visit www.mysticmonkcoffee.com or call 877-751-6377 for more information.,March 2021,Medium,Mystic Monk Coffee,"Meeteetse, Wyoming",https://www.coffeereview.com/review/easter-sunrise-blend-4/
Addis Katema,93,9,8,9,8,9,,62/80,"Crisply sweet-tart, high-toned. Lemon verbena, plum, narcissus, cocoa nib, maple syrup in aroma and cup. Sweet-tart structure with bright, juicy acidity; delicate, silky mouthfeel. The resonant finish centers around notes of plum and cocoa nib with undertones of narcissus-like flowers.","A classic washed Ethiopia cup: sweet, bright, balanced and juicy, with citrus and stone fruit notes supported by a cocoa throughline.","Wenango District, Gedeo Zone, Ethiopia",$18.75/12 ounces,Produced by Zelelu Ararso from indigenous Ethiopian landrace varieties of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Certified USDA organic. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.,March 2021,Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/addis-katema/
Rwanda Sholi,93,9,8,9,8,9,,59/77,"Bright, sweetly tart, cocoa-toned. Cocoa nib, Meyer lemon zest, nougat, red apple, almond in aroma and cup. Sweet-tart structure with crisp, high-toned acidity; silky-smooth mouthfeel. The finish consolidates to notes of cocoa-toned nougat and almond.","An inviting, high-toned Rwanda cup with especially vibrant, juicy acidity. ","Muhanga District, Southern Province, Rwanda",$19.00/12 ounces,"Produced by members of the Sholi Cooperative, half of whom are women, entirely of Bourbon-related varieties of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.",March 2021,Medium-Light,Temple Coffee Roasters,"Sacramento, California",https://www.coffeereview.com/review/rwanda-sholi/
Twisted V.6 Espresso,94,,8,9,9,9,9,54/74,"Evaluated as espresso. Chocolate fudge, pomegranate, cedar, honeysuckle, lime zest in aroma and small cup. Plush, syrupy mouthfeel; deep, chocolaty finish. In three parts milk, both chocolate and floral notes are amplified, complicated by pomegranate and cedar."," This house-blend espresso is deep, rich, floral and chocolaty; especially compelling in milk. And a bargain at $15.75 for 12 ounces.
",South America; Central America; Africa,$15.75/12 ounces,"A blend of coffees from South America, Central America and Africa, all wet-processed (fruit skin and flesh are removed from the beans before they are dried). Roasted for espresso. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",March 2021,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/twisted-v-6-espresso/
Asprole Blend #1 Colombia Coffee for Peace,92,8,8,9,8,9,,59/77,"Crisply sweet, chocolaty. Baking chocolate, apricot, lemon verbena, fresh-cut fir, nougat in aroma and cup. Sweet in structure with brisk acidity; crisp, satiny-smooth mouthfeel. The finish centers around notes of baking chocolate, fir, and lemon verbena.","A friendly, accessible Colombia cup — briskly sweet and richly chocolaty.","Cauca Department, Colombia",$14.20/12.64 ounces,"A blend of coffees from multiple farms in Colombia produced by Coffee for Peace, an alliance of coffee farmers working to develop, facilitate and promote the trade of traceable coffees from historically violence-prone zones in Colombia. Processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). True Coffee is a specialty roaster and cafe in Wisconsin whose motto is, “On a never-ending quest to bring you a great cup of coffee, by staying true to the bean.” Visit www.truecoffeeroasters.com for more information.",March 2021,Medium-Light,True Coffee Roasters,"Fitchburg, Wisconsin",https://www.coffeereview.com/review/asprole-blend-1-colombia-coffee-for-peace/
Belquis Ramirez Lemus Colombia Coffee for Peace,92,9,8,8,8,9,,58/76,"Balanced, bright. Cocoa nib, orange zest, almond brittle, plum, cedar in aroma and cup. Sweet-toned with juicy, high-toned acidity; crisp, velvety mouthfeel. Quiet finish that leads with notes of cocoa nib and orange zest, rounding to cedar in the long.","A good-value, balanced Colombia cup, juicy and bright, with notes of stone fruit and cocoa nib throughout.","Cauca Department, Colombia",$14.20/12.64 ounces,"Produced by Belquis Ramirez Lemus in partnership with Coffee for Peace, an alliance of coffee farmers working to develop, facilitate and promote the trade of traceable coffees from historically violence-prone zones in Colombia. Processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). True Coffee is a specialty roaster and cafe in Wisconsin whose motto is, “On a never-ending quest to bring you a great cup of coffee, by staying true to the bean.” Visit www.truecoffeeroasters.com for more information.",March 2021,Medium-Light,True Coffee Roasters,"Fitchburg, Wisconsin",https://www.coffeereview.com/review/belquis-ramirez-lemus-colombia-coffee-for-peace/
Costa Rica Aris Red Honey Lot 2002 Espresso,94,,8,9,9,9,9,52/70,"Evaluated as espresso. Richly aromatic, deeply fruit-toned. Dried apricot, sandalwood, narcissus, almond, dark chocolate in aroma and small cup. Viscous, syrupy mouthfeel; quiet, cleanly fruit-centered finish. In cappuccino-scaled milk, apricot and narcissus notes particularly please.","A cleanly fruit-forward Costa Rica coffee roasted for espresso, with notes of dried stone fruit, dark chocolate, and spice-toned florals.","Central Valley, Costa Rica",NT $270/8 ounces,"Processed by the red honey method, meaning that some fruit flesh or “honey” was allowed to adhere to the beans during drying. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.",March 2021,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan",https://www.coffeereview.com/review/costa-rica-aris-red-honey-lot-2002-espresso/
Ethiopia Gedeo Kochere Reko Natural,94,9,8,9,9,9,,64/84,"Richly sweet-tart, fruit-toned. Dried raspberry, dark chocolate, musk, almond, honeysuckle in aroma and cup. Deeply sweet structure with wine-like acidity; plush, creamy mouthfeel. The finish consolidates to notes of dark chocolate and almond with undertones of raspberry.",A cleanly fruit-centered Ethiopia cup with intriguing notes of musk and an especially full mouthfeel.,"Yirgacheffe growing region, southern Ethiopia",$16.00/230 grams,"Produced by the Reko Farming Cooperative largely from indigenous Ethiopia landrace tree varieties and processed by the natural method (dried in the whole fruit). Interpretation Coffee is a specialty nano-roaster in Taipei. For more information, email Gary Lee at [email protected].",March 2021,Light,Interpretation Coffee,"Chia-Yi, Taiwan",https://www.coffeereview.com/review/ethiopia-gedeo-kochere-reko-natural/
Colombia Monteblanco Geisha,94,9,8,9,9,9,,64/82,"Delicate, high-toned, complex. Guava, cocoa nib, narcissus, sandalwood, hazelnut butter in aroma and cup. Sweet-tart structure with bright, juicy acidity; very smooth, syrupy mouthfeel. Resonant finish consolidates to attractive notes of guava and cocoa nib.","A nuanced, elegant Colombia Geisha with notes of tropical fruit, spice-toned florals and rich cocoa nib.","Huila Department, Colombia",$9.99/4 ounces,"Produced by Rodrigo Sanchez of Monteblanco Farm entirely of the Geisha variety of Arabica and processed by a proprietary cold-fermentation process. Merge is a specialty coffee roaster in Harrisonburg, Virginia dedicated to ethical sourcing of high-quality coffees. Visit www.mergecoffeeco.com for more information.",March 2021,Light,Merge Coffee Company,"Harrisonburg, Virginia",https://www.coffeereview.com/review/colombia-monteblanco-geisha/
Panama Boquete Flor De Mariposa Geisha Espresso,96,,9,9,9,9,10,54/76,"Evaluated as espresso. Richly floral, complex, nuanced. Lilac, dark chocolate, black cherry, myrrh, lemon-thyme in aroma and small cup. Very syrupy-smooth mouthfeel; deep, rich, flavor-laden finish. This coffee particularly impresses in three parts milk, with lyric, lilac top notes, rich, fudge-like bottom notes, and black cherry, myrrh and lemon thyme in the mid-palate.","An exquisitely floral-toned, chocolaty single-origin espresso from Panama, with resonant notes of red stone fruit and further depth and intrigue from a resiny aromatic wood note suggesting frankincense.","Boquete growing region, western Panama",NT $500/8 ounces,This exceptional coffee was selected as the No. 15 coffee on Coffee Review’s list of the Top 30 Coffees of 2021. Produced at Flor de Mariposa Farm entirely of the Geisha variety of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before drying). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.,March 2021,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan",https://www.coffeereview.com/review/panama-boquete-flor-de-mariposa-geisha-espresso/
Flight Seasonal Espresso,95,,9,9,9,9,9,58/74,"Evaluated as espresso. Richly spice-toned, deeply floral. Honeysuckle, black cherry, baking spices, dark chocolate, amber in aroma and small cup. Plush, syrupy-smooth mouthfeel; finely balanced, flavor-saturated finish. The milk shot amplifies floral tones suggesting honeysuckle with undertones of black cherry and warming spices. ","An unusual blend of three coffees from two origins (Ethiopia and the Dominican Republic), each processed by a different method — washed, natural and honey — netting an impressively complex, multilayered espresso.",Ethiopia; Dominican Republic,$18.99/12 ounces,"A blend of washed and natural-processed Ethiopia coffees imported by Catalyst Trade and a honey-processed Dominican Republic imported by Cafe Kreyol. Established in 2010, Red Rooster is an organic-certified micro roaster focusing on socially conscious, high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.",April 2021,Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia",https://www.coffeereview.com/review/flight-seasonal-espresso-8/
Colombia Chiroso Natural,93,9,8,9,8,9,,64/84,"Crisply sweet-tart, high-toned. Meyer lemon zest, cocoa nib, hazelnut, dried hibiscus flower, marjoram in aroma and cup. Bright, tart-leaning structure with juicy acidity; delicate, silky mouthfeel. Citrusy finish supported by tart florals and cocoa nib.","A vibrantly rich Colombia cup from the rare Chiroso variety of Arabica, grown only in parts of Colombia and offered by Paradise for the first time.","Caicedo, Antioquia Department, Colombia",$24.95/4 ounces,"Produced by Wilson Roldan entirely of the Chiroso variety of Arabica and processed by the natural method (beans are dried in the whole fruit). Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",April 2021,Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/colombia-chiroso-natural/
Nayamasasa Democratic Republic of the Congo,93,9,8,9,8,9,,60/80,"Balanced, richly sweet. Apricot, agave syrup, baking chocolate, cashew butter, tangerine zest in aroma and cup. Sweet structure with pert acidity; plush, syrupy-smooth mouthfeel. The long, gentle finish centers around notes of chocolate and cashew butter with hints of tangerine zest.","A classic D.R. Congo cup alive with notes of stone fruit, chocolate, nut butter, citrus zest.","South Kivu Province, Democratic Republic of the Congo",$18.95/12 ounces,"Certified fair trade and USDA Organic. Produced entirely from trees of Bourbon-related varieties of Arabica by members of the SOPACDI cooperative and processed by the washed method at the Nyamasasa Washing Station. Located overlooking Lake Kivu, on the opposite side of the lake from Rwanda, the rapidly growing SOPACDI cooperative now has nearly 6,000 members and is succeeding in its goal to help heal wounds left by the latest in eastern Congo’s seemingly endless string of horrific rebellions and civil wars. Founded in 1990, Roadmap CoffeeWorks, formerly Lexington Coffee Roasters, is an award-winning artisan roasting company based in Lexington, Virginia. Roadmap CoffeeWorks focuses on producing fresh, distinctive and sustainable coffees. Visit www.roadmapcoffeeworks.com or call 800-322-6505 for more information.",April 2021,Medium-Light,Roadmap CoffeeWorks,"Lexington, Virginia",https://www.coffeereview.com/review/nayamasasa-democratic-republic-of-the-congo/
Colombia Finca El Vergal Geisha/Java Natural,93,8,8,9,9,9,,62/80,"Fruit-forward, delicately spice-toned. Pink grapefruit zest, apricot, freesia-like flowers, fresh-cut oak, almond butter in aroma and cup. Sweet-tart structure with brisk acidity; plush, syrupy mouthfeel. The resonant finish consolidates to notes of pink grapefruit zest and almond butter.","An unusual blend of two varieties of Arabica, both natural-processed and both derived from Ethiopian landraces — the well-known, floral-toned Geisha and the lesser-known, more balanced Java.","Algeciras, Huila, Colombia",$19.95/6 ounces,"Produced by Robinson Rozo from a blend of the Geisha and Java varieties of Arabica, both processed by the natural method (beans are dried in the whole fruit). Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",April 2021,Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/colombia-finca-el-vergal-geisha-java-natural/
Reina de la Asuncion Ecuador,93,9,8,9,8,9,,58/76,"Bright, crisply sweet. Honeydew melon, hazelnut, cocoa nib, narcissus, cedar in aroma and cup. Sweet-toned structure with lively, high-toned acidity; full, velvety mouthfeel. Nut- and cocoa-toned finish with hints of narcissus-like flowers. ","A balanced, vibrant Ecuador cup that leads with notes of sweet melon and spicy florals, supported by deep tones of ,cocoa and nut.","Congonama, Loja region, Ecuador",$19.75/12 ounces,Produced by Angel Benigno Capa Chama and Maria Carmen Cogitambo Lojan of Reina de la Asuncion Farm from trees of the Caturra and Typica varieties of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.,April 2021,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/reina-de-la-asuncion-ecuador/
Yemen Al Mashtal Al Burhani,94,9,8,9,9,9,,58/78,"Concentrated, rich-toned, deep. Dried plum, sandalwood, baking chocolate, star jasmine, lemon thyme in aroma and cup. Deeply sweet structure with bright acidity; very full, satiny-smooth mouthfeel. Finish consolidates to notes of dried plum and sandalwood with hints of baking chocolate.","An impressive Yemen cup, deep-toned and cleanly fruit-centered with bright, juicy acidity and inviting spice notes throughout.","Haraaz growing region, Yemen",$24.95/4 ounces,"Produced at Mashtal ul Burhani farm from trees of the Tuffahi, Dawairi, Jaadi and various other local varieties of Arabica and processed by the natural method (beans are dried in the whole fruit). Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",April 2021,Medium-Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/yemen-al-mashtal-al-burhani/
Papua New Guinea Baroida Honey,92,8,8,8,9,9,,56/74,"Cleanly fruit-forward. Lychee, ripe pear, freesia-like flowers, maple syrup, fresh-cut fir in aroma and cup. Sweet-toned structure with brisk acidity; very full, syrupy-smooth mouthfeel. The finish is fruit-toned with complications of fresh-cut fir and freesia.","A honey-processed PNG cup, complexly fruit-toned with a backdrop of spicy flowers.","Kainantu District, Eastern Highlands Province, Papua New Guinea",CAD $21.00/12 ounces,Produced by the Colbran family entirely of the Arusha and Bourbon varieties of Arabica and processed by the honey method (skin is removed but at least some of the sticky fruit residue is allowed to dry on the bean). Propeller is a Toronto-based micro-roaster with a dedication to careful selection and exceptional craft roasting of high-end coffees. Visit www.propellercoffee.com or call 416-479-3771 for more information.,April 2021,Medium-Light,Propeller Coffee,"Toronto, Ontario, Canada",https://www.coffeereview.com/review/papua-new-guinea-baroida-honey/
Papua New Guinea Baroida Washed,92,8,8,9,8,9,,58/76,"Crisply sweet, fruit-toned. Plum, apple blossom, oak, caramel, lemon verbena in aroma and cup. Sweet-tart structure with gentle, round acidity; satiny mouthfeel. The finish rounds to notes of caramel-toned plum with a hint of lemon verbena.","A quietly impressive washed-process PNG cup, delicate and deeply sweet.","ainantu District, Eastern Highlands Province, Papua New Guinea",CAD $21.00/12 ounces,"Produced by the Colbran family entirely of the Arusha and Bourbon varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Propeller is a Toronto-based micro-roaster with a dedication to careful selection and exceptional craft roasting of high-end coffees. Visit www.propellercoffee.com or call 416-479-3771 for more information.",April 2021,Medium-Light,Propeller Coffee,"Toronto, Ontario, Canada",https://www.coffeereview.com/review/papua-new-guinea-baroida-washed/
Foundry Blend,92,8,8,9,8,9,,58/76,"Crisply sweet, chocolaty. Baking chocolate, hazelnut, vanilla bean, persimmon, fresh-cut cedar in aroma and cup. Sweet-toned structure with brisk acidity; smooth, velvety mouthfeel. The finish consolidates around suggestions of cedar-toned chocolate.","A blend named in homage to the rolled metal shop that once occupied the site of Propeller’s current roasting operation. Crisp, chocolaty, richly sweet-toned.",Colombia; Burundi,CAD $18.00/12 ounces,"A blend of coffees from Colombia and Burundi, both processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Propeller is a Toronto-based micro-roaster with a dedication to careful selection and exceptional craft roasting of high-end coffees. Visit www.propellercoffee.com or call 416-479-3771 for more information.",April 2021,Medium-Light,Propeller Coffee,"Toronto, Ontario, Canada",https://www.coffeereview.com/review/foundry-blend/
Papua New Guinea Baroida Natural,93,8,8,9,9,9,,55/75,"Bright, juicy, richly fruit-centered. Pineapple guava, cocoa nib, marjoram, hazelnut, cedar in aroma and cup. Sweet-tart structure with brisk acidity; plush, syrupy mouthfeel. Fruit-forward finish with undertones of marjoram and cedar.","A delicate yet confident, fruit-driven PNG natural cup, juicy and appealingly sweet-tart.","ainantu District, Eastern Highlands Province, Papua New Guinea",CAD $21.00/12 ounces,"Produced by the Colbran family from trees of the Arusha and Bourbon varieties of Arabica, and processed by the natural method (beans are dried in the whole fruit). Propeller is a Toronto-based micro-roaster with a dedication to careful selection and exceptional craft roasting of high-end coffees. Visit www.propellercoffee.com or call 416-479-3771 for more information.",April 2021,Medium-Light,Propeller Coffee,"Toronto, Ontario, Canada",https://www.coffeereview.com/review/papua-new-guinea-baroida-natural/
Turbo Espresso,93,,8,9,8,9,9,46/62,"Evaluated as espresso. Richly chocolaty, sweetly nut-toned. Dark chocolate, hazelnut butter, magnolia, gently scorched cedar, date in aroma and small cup. Full, creamy-smooth mouthfeel; crisply sweet, chocolate- and nut-toned finish. In cappuccino-scaled milk, chocolate notes brighten, supported by notes of gently scorched cedar and magnolia.","A darker-roasted espresso blend particularly attractive in three parts milk, with sweet floral, rich chocolate, and deep nut tones. ",Brazil; Colombia,CAD $18.00/12 ounces,"A blend of coffees from Brazil and Colombia, roasted for espresso. Propeller is a Toronto-based micro-roaster with a dedication to careful selection and exceptional craft roasting of high-end coffees. Visit www.propellercoffee.com or call 416-479-3771 for more information.",April 2021,Medium,Propeller Coffee,"Toronto, Ontario, Canada",https://www.coffeereview.com/review/turbo-espresso/
Ethiopia Guji Hambela Buku Abel Slow Dry Natural 2400m,94,9,8,9,9,9,,64/82," Deeply sweet, rich-toned, juicy. Dried apricot, dark chocolate, cashew, pink grapefruit zest, magnolia in aroma and cup. Sweet-tart structure with balanced acidity; full, syrupy mouthfeel. The fruit-forward finish is balanced by notes of cashew and dark chocolate.","An elegant natural-processed Ethiopia cup, fruit-toned with notes of sweet nuts and citrus zest.","Guji Zone, Oromia Region, Southern Ethiopia",NT $400/220 grams,"Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian landrace varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Atom Coffee is a specialty roaster based in Douliou City, Taiwan. For more information, visit https://m.facebook.com/atomcoffee2019/.",April 2021,Light,Atom Coffee Roasters,"Douliou City, Taiwan",https://www.coffeereview.com/review/ethiopia-guji-hambela/
